Designator,Mid X,Mid Y,Rotation,Layer
BT1,298.65,-167.61,270.0,bottom
C1,291.290002,-174.58,180.0,bottom
C2,291.29,-172.61,180.0,bottom
C3,291.29,-170.64,180.0,bottom
C4,221.06,-165.28,0.0,bottom
C5,221.16,-168.91,0.0,bottom
C6,241.1,-171.21,90.0,bottom
C7,238.97,-171.21,270.0,bottom
C8,267.3,-173.73,90.0,bottom
D1,83.8925,-87.155,270.0,bottom
D10,265.495,-87.255,270.0,bottom
D11,284.845,-87.33,270.0,bottom
D12,302.35,-87.555,270.0,bottom
D13,321.4,-87.555,270.0,bottom
D14,340.45,-87.555,270.0,bottom
D15,359.5,-87.555,270.0,bottom
D16,398.615,-88.6575,270.0,bottom
D18,426.16,-86.005,270.0,bottom
D19,445.21,-86.005,270.0,bottom
D2,100.3115,-84.365,270.0,bottom
D20,464.26,-86.005,270.0,bottom
D21,83.9675,-106.355,270.0,bottom
D22,102.8225,-106.415,270.0,bottom
D23,135.6625,-105.155,270.0,bottom
D24,159.475,-105.055,270.0,bottom
D25,178.525,-105.055,270.0,bottom
D26,197.575,-105.055,270.0,bottom
D27,216.625,-105.055,270.0,bottom
D28,235.675,-105.055,270.0,bottom
D29,254.725,-105.055,270.0,bottom
D3,131.62,-87.505,270.0,bottom
D30,273.775,-104.955,270.0,bottom
D31,292.825,-105.055,270.0,bottom
D32,311.875,-105.055,270.0,bottom
D33,330.925,-105.055,270.0,bottom
D34,349.975,-105.055,270.0,bottom
D35,374.625,-99.185,90.0,bottom
D36,392.8375,-105.055,270.0,bottom
D37,426.16,-104.955,270.0,bottom
D38,445.21,-104.955,270.0,bottom
D39,464.26,-104.955,270.0,bottom
D4,150.92,-87.38,270.0,bottom
D40,83.8425,-125.205,270.0,bottom
D41,102.8975,-125.44,270.0,bottom
D42,138.04375,-125.655,270.0,bottom
D43,164.2375,-125.655,270.0,bottom
D44,183.2875,-125.655,270.0,bottom
D45,202.3375,-125.655,270.0,bottom
D46,221.3875,-125.655,270.0,bottom
D47,240.4375,-125.655,270.0,bottom
D48,259.4875,-125.655,270.0,bottom
D49,278.5375,-125.655,270.0,bottom
D5,169.895,-87.305,270.0,bottom
D50,297.5875,-125.655,270.0,bottom
D51,316.6375,-125.655,270.0,bottom
D52,334.8875,-125.655,270.0,bottom
D53,354.7375,-125.655,270.0,bottom
D54,385.69375,-125.655,270.0,bottom
D55,426.16,-125.755,270.0,bottom
D56,445.21,-125.655,270.0,bottom
D57,464.26,-125.655,270.0,bottom
D58,83.7425,-144.855,270.0,bottom
D59,102.9975,-144.99,270.0,bottom
D6,188.82,-87.055,270.0,bottom
D60,143.565,-140.6075,270.0,bottom
D61,345.2125,-144.805,270.0,bottom
D62,154.7125,-144.705,270.0,bottom
